0.1,0.1.1,0.2,điểm thi
9,7,6.0,6.0
9,7,6.0,6.0
10,9,7.0,7.25
9,7,6.0,6.0
10,8,7.0,7.5
9,7,6.5,6.5
0,0,0.0,
10,8,6.0,7.25
10,8,8.0,8.0
10,8,7.5,8.75
9,7,6.0,5.5
9,7,6.0,6.0
10,8,7.0,7.5
0,0,0.0,
10,8,7.0,7.0
10,8,6.0,7.5
10,9,7.0,7.25
6,5,5.0,5.0
9,7,6.0,6.0
10,9,7.0,6.5
9,7,6.0,6.0
9,7,6.0,3.5
10,8,7.0,8.0
9,6,6.0,6.5
10,7,6.0,6.0
10,7,6.0,7.0
10,6,6.0,6.0
10,7,6.0,7.0
10,8,6.5,7.5
9,8,6.0,5.5
9,7,6.0,6.5
10,7,6.0,6.0
9,7,6.0,5.5
9,7,6.0,4.5
9,7,6.0,
0,0,0.0,
10,9,7.0,7.5
10,8,7.0,7.0
10,8,7.5,7.25
0,0,0.0,
9,7,6.0,6.5
0,0,0.0,
10,8,7.0,7.25
10,8,7.0,7.25
10,7,6.0,6.0
10,8,7.5,7.0
0,0,0.0,
10,8,7.0,7.0
9,7,6.0,6.0
7,6,5.0,5.0
9,7,6.0,6.0
9,7,6.0,5.5
10,8,7.0,6.75
10,8,6.0,7.0
